27.55,24.42,23.27,21.96,23.85,28.25,38.63,43.65,44.93,44.27,44.54,44.54,44.14,43.99,43.87,43.99,43.84,42.93,43.46,43.37,44.05,41.44,37.79,36.38
27.28,24.42,22.39,21.92,22.81,25.87,39.09,43.70,44.12,44.06,45.25,44.54,44.15,44.00,42.93,41.48,41.28,41.17,41.61,43.04,45.39,42.97,38.70,37.08
28.24,24.43,23.00,22.43,24.36,28.92,37.40,43.59,44.57,43.99,43.95,43.99,43.90,43.90,43.52,41.64,41.60,43.03,42.40,44.84,48.75,43.81,38.63,35.96
28.98,26.15,24.83,24.46,25.29,30.02,39.44,43.29,43.50,42.56,42.00,41.77,40.12,44.13,43.82,43.85,43.53,43.42,43.40,45.80,50.77,43.53,38.52,35.15
30.47,28.04,26.25,26.26,28.03,33.46,38.78,43.27,42.81,43.47,43.71,44.28,43.78,42.51,42.08,41.55,41.51,41.63,41.36,41.59,45.36,41.16,36.30,34.92
28.27,26.24,25.22,25.20,26.19,31.89,36.83,40.10,39.85,40.68,40.47,40.83,42.14,40.66,39.74,40.95,39.77,39.37,39.51,39.73,44.49,39.77,34.61,32.87
28.75,25.97,23.86,23.62,24.68,28.87,33.75,37.84,37.76,37.93,39.73,39.76,40.18,40.09,39.73,39.65,39.53,38.91,37.68,38.02,40.14,37.46,32.45,32.07
33.36,26.90,25.26,23.81,26.75,31.75,37.65,39.35,40.37,40.75,40.81,41.56,41.52,43.16,42.29,41.52,41.53,42.33,41.10,42.38,48.93,42.92,39.69,38.32
31.44,26.10,22.17,20.97,22.03,30.31,37.49,39.90,40.76,41.41,42.87,44.43,44.42,44.52,45.09,43.92,44.54,43.68,41.45,41.08,44.61,39.68,36.90,35.52
25.96,20.97,18.15,18.04,18.63,26.48,33.42,36.95,38.25,39.87,41.48,42.10,41.98,42.80,41.94,41.29,40.90,40.94,40.04,40.88,43.77,38.39,32.56,33.40
26.47,19.80,17.24,17.09,17.26,22.58,33.44,34.21,36.00,38.27,38.24,38.24,38.08,38.23,37.82,37.74,37.62,36.20,37.46,37.84,37.85,37.18,32.08,31.86
22.50,17.34,15.59,15.52,15.85,19.56,29.64,31.03,34.57,36.28,37.30,37.78,37.73,38.06,35.22,34.51,35.13,34.47,34.70,34.92,35.41,35.13,29.51,28.81
27.86,21.10,19.41,17.88,20.26,25.16,34.09,35.52,37.95,38.46,39.46,39.00,39.43,37.67,37.67,37.72,37.72,37.67,37.72,37.82,41.08,37.75,30.62,29.67
26.79,22.52,20.27,20.08,20.56,25.36,34.03,35.31,36.99,37.90,37.95,37.83,37.75,41.72,41.04,40.38,40.16,39.85,37.90,38.00,42.08,38.27,31.98,29.11
25.59,21.69,19.49,18.80,19.80,25.07,32.64,30.59,35.00,37.01,38.03,38.00,38.60,38.39,37.41,37.43,37.52,37.38,35.94,34.41,37.79,33.14,26.66,26.55
32.18,28.25,24.97,22.68,24.82,32.63,37.99,35.56,37.89,37.84,39.48,40.19,39.89,37.38,36.92,36.84,37.45,36.83,37.62,37.08,37.76,35.79,28.46,27.72
30.27,25.53,22.30,20.14,22.05,28.86,32.27,31.10,34.68,36.36,37.50,37.46,37.41,37.37,36.67,36.40,35.69,35.03,33.52,32.78,35.43,34.92,31.01,30.15
22.37,19.07,17.42,17.17,17.20,16.95,17.47,22.87,24.83,28.33,30.89,35.14,35.88,38.06,37.75,38.09,39.78,40.14,38.44,38.13,39.40,38.09,34.65,28.08
29.87,25.84,23.62,22.88,24.49,29.00,33.21,36.31,38.45,41.69,41.70,43.06,41.79,41.28,41.31,39.70,39.66,39.40,40.79,38.26,40.36,38.40,35.47,31.22
